test_name,vi_time,vi_iter,pi_time,pi_iter
FixedGoalInitialState\a_test.net,0.0,8,0.0,4
FixedGoalInitialState\class_example.net,0.0,10,0.0,2
FixedGoalInitialState\navigation_1.net,181.13000000000002,84,54.239999999999995,16
FixedGoalInitialState\navigation_10.net,242259.54000000004,821,114195.54000000001,154
FixedGoalInitialState\navigation_2.net,1810.6399999999987,167,636.94,33
FixedGoalInitialState\navigation_3.net,6178.729999999983,250,2208.2299999999996,49
FixedGoalInitialState\navigation_4.net,16688.160000000014,332,7305.719999999999,67
FixedGoalInitialState\navigation_5.net,27020.11999999999,414,11769.099999999995,76
FixedGoalInitialState\navigation_6.net,50055.660000000105,495,18497.22,83
FixedGoalInitialState\navigation_7.net,81396.14000000007,577,35443.270000000004,111
FixedGoalInitialState\navigation_8.net,121510.1300000001,658,50544.399999999994,119
FixedGoalInitialState\navigation_9.net,175444.29,739,80196.4,137
RandomGoalInitialState\navigation_1.net,165.13,63,46.86,12
RandomGoalInitialState\navigation_10.net,193750.02999999994,648,91974.18999999999,121
RandomGoalInitialState\navigation_2.net,1874.2899999999984,111,718.4200000000001,20
RandomGoalInitialState\navigation_3.net,5675.8399999999865,167,1890.46,28
RandomGoalInitialState\navigation_4.net,12987.919999999996,233,2899.9799999999996,34
RandomGoalInitialState\navigation_5.net,20641.710000000006,307,9631.959999999997,66
RandomGoalInitialState\navigation_6.net,40458.31000000003,393,17787.089999999997,80
RandomGoalInitialState\navigation_7.net,63428.75,442,34830.2,105
RandomGoalInitialState\navigation_8.net,95884.15999999992,495,47125.29000000001,113
RandomGoalInitialState\navigation_9.net,160292.03000000014,670,73879.72000000002,129
